original_chapter_page,revised_chapter_page,original_book_page,revised_book_page
1,1,5,5
2,2,6,6
3,3,7,7
4,5,8,9
5,6,9,10
6,7,10,11
7,8,11,12
8,9,12,13
9,10,13,14
10,11,14,15
11,14,15,18
12,15,16,19
13,16,17,20
14,17,18,21
15,18,19,22
16,19,20,23
17,20,21,24
18,22,22,26
19,23,23,27
20,25,24,29
21,26,25,30
22,27,26,31
23,28,27,32
24,29,28,33
25,30,29,34
26,31,30,35
27,32,31,36
28,33,32,37
29,34,33,38
30,35,34,39
31,37,35,41
32,38,36,42
33,39,37,43
34,41,38,45
35,42,39,46
36,43,40,47
37,44,41,48
38,46,42,50
39,47,43,51
40,48,44,52
